older,relationship_type,age_difference,q23,parental_approval,gender_attraction,met_through_friends,met_through_family,met_through_as_neighbors,met_through_as_coworkers,how_long_ago_first_met,how_long_relationship,how_long_ago_first_romantic,how_long_ago_first_cohab,relationship_quality,children_in_hh,number_of_marriages,edu_diff,edu_high,edu_low,edu_ave,same_race,same_polit,same_religion,same_highschool,same_college,same_city,parents_involved,internet,quality_change,attractiveness_diff,sex_freq,w5_p_monogamy
1,0,10,2,1,1,0,0,0,1.0,30,30,30,30,3.0,0,0,0.0,17.0,17.0,17.0,1,1,0,0,0,0,0,0,4.0,0.0,0,0
0,0,0,2,1,3,1,0,1,0.0,20,15,15,15,4.0,0,0,0.0,16.0,16.0,16.0,1,0,0,0,1,0,0,0,4.0,0.0,0,1
0,2,0,1,1,4,0,0,0,0.0,15,5,0,-1,4.0,1,0,3.0,16.0,13.0,14.5,1,1,1,0,0,1,0,0,4.0,0.0,3,1
1,0,10,1,-1,4,0,1,0,0.0,-1,50,50,50,4.0,0,1,5.5,13.0,7.5,10.25,1,0,0,0,0,0,0,0,4.0,0.0,1,1
1,1,10,2,0,3,0,0,0,0.0,0,5,0,-1,3.0,0,0,5.0,17.0,12.0,14.5,1,0,0,0,0,0,0,1,-1.0,-1.0,-1,0
1,1,5,2,1,3,0,0,0,0.0,5,5,5,-1,3.0,4,0,2.0,14.0,12.0,13.0,1,1,0,0,0,0,0,2,-1.0,-1.0,-1,0
1,1,5,2,1,4,0,1,0,0.0,5,5,5,-1,4.0,0,0,1.0,17.0,16.0,16.5,1,1,0,0,0,0,0,0,4.0,1.0,0,1
1,1,20,2,-1,4,0,0,0,1.0,5,5,0,-1,3.0,0,1,0.0,20.0,20.0,20.0,1,1,0,0,0,0,0,0,-1.0,-1.0,-1,0
0,1,0,2,1,4,0,0,0,1.0,5,5,5,-1,3.0,0,1,1.0,14.0,13.0,13.5,1,1,0,0,0,0,0,0,-1.0,-1.0,-1,0
2,0,10,2,1,4,0,0,0,0.0,10,10,10,10,4.0,1,0,2.0,12.0,10.0,11.0,0,0,1,0,0,0,0,0,4.0,0.0,1,1
